/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10324/: vold = 19.88454796317181, vnew = 134.8360892460482, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10325/: vold = 194.41200825619603, vnew = 45.817559090202266, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10326/: vold = 185.7862434679428, vnew = 26.683806996370308, difference = 27, maxdiff = 0.0001296401023864746
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10327/: vold = 228.8386640344134, vnew = 66.54754177738909, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10328/: vold = 197.78357963775397, vnew = 36.25771402921337, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10329/: vold = 359.38279803469595, vnew = 87.34326460260897, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1033/: vold = 129.78937997687515, vnew = 84.54317259563746, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10330/: vold = 346.50563925775225, vnew = 22.113251088199945, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10331/: vold = 231.60242255490508, vnew = 44.99637489573716, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10332/: vold = 142.68001629102199, vnew = 65.51442633593015, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10333/: vold = 219.5973777348506, vnew = 57.71545220607682, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10334/: vold = 21.809615341325944, vnew = 194.05863608163014, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10335/: vold = 106.81561506437156, vnew = 76.72890372819512, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10336/: vold = 238.02346613458153, vnew = 50.213667863920115, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10337/: vold = 73.57943254951617, vnew = 123.55507555021754, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10338/: vold = 197.46566205923395, vnew = 97.11524607727787, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10339/: vold = 143.78412292875498, vnew = 65.46897562630942, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1034/: vold = 76.44914450839225, vnew = 180.2022891542182, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10340/: vold = 110.37877076471352, vnew = 91.2466397471481, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10341/: vold = 52.2264706623715, vnew = 135.8698069569478, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10342/: vold = 98.47559943850229, vnew = 144.13034049231706, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10343/: vold = 127.005294663113, vnew = 91.4658080894901, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10344/: vold = 39.28184847972406, vnew = 106.93986903636562, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10345/: vold = 89.06131164835763, vnew = 155.19785765639148, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10346/: vold = 148.16418576217168, vnew = 76.0631628312828, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10347/: vold = 267.33322960017097, vnew = 85.57876195665854, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10348/: vold = 201.9964353903912, vnew = 73.70307353306146, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10349/: vold = 198.3435585703579, vnew = 75.22252992896732, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1035/: vold = 45.26300369255536, vnew = 159.79827183338958, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10350/: vold = 35.055906848942875, vnew = 189.18520466410897, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10351/: vold = 67.471609125072, vnew = 137.51295854646867, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10352/: vold = 185.469933377777, vnew = 55.58493057140265, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10353/: vold = 305.9478402413433, vnew = 93.6964841236823, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10354/: vold = 177.11333693259434, vnew = 97.08523877232994, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10355/: vold = 58.40292491630398, vnew = 121.39240486770609, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10356/: vold = 104.55927820166175, vnew = 39.989144929137055, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10357/: vold = 97.73359641240356, vnew = 162.95731390067255, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10358/: vold = 89.8891005736986, vnew = 193.35837471329128, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10359/: vold = 61.56266825309393, vnew = 162.26811471497552, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1036/: vold = 353.234712168315, vnew = 31.30069117949762, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10360/: vold = 134.91651506486656, vnew = 52.711890760101106, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10361/: vold = 91.8325082331739, vnew = 144.05251275536577, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10362/: vold = 69.50516426204746, vnew = 178.0187866881325, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10363/: vold = 79.62932758949549, vnew = 153.4429655071857, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10364/: vold = 69.20849353159264, vnew = 196.85348185310158, difference = 50, maxdiff = 0.00012725591659545898
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10365/: vold = 219.69395048012464, vnew = 87.7167055549973, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10366/: vold = 80.34234627833936, vnew = 153.69927169769355, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10367/: vold = 29.738787489922316, vnew = 135.78317133739046, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10368/: vold = 104.25101980864244, vnew = 76.0748275063789, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10369/: vold = 250.76788041144232, vnew = 68.54874188177074, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/1037/: vold = 38.32441184700125, vnew = 139.82586643188517, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10370/: vold = 52.589736959682355, vnew = 150.30751365780205, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10371/: vold = 44.065468559003655, vnew = 198.20321249802993, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10372/: vold = 164.21373656201675, vnew = 80.20989961522523, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10373/: vold = 55.222200090244506, vnew = 125.05911882872162, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10374/: vold = 28.65432753902925, vnew = 105.56049565300123, difference = 56, maxdiff = 0.00017112493515014648
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10375/: vold = 98.45509288078124, vnew = 104.24707562736876, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10376/: vold = 26.132392655738588, vnew = 182.41491414263024, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10377/: vold = 142.67247539887364, vnew = 94.9064065405847, difference = 438, maxdiff = 0.00028711557388305664
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10378/: vold = 114.455677328705, vnew = 39.74399244396178, difference = 0, maxdiff = 0.0
/mnt/Drive2/ivan_kevin/samples_extended_copy/Dataset/10379/: vold = 60.63958016436592, vnew = 104.73366186121369, difference = 0, maxdiff = 0.0
